employees_id,agent_id,employees_name,email,phone,position,employment_type
43,4,"Wood, Maria",maria.wood@dreamhomes.nyc,8191827515,Dream Homes Syracuse,Part-time
44,5,"Saunders, Kimberly",kimberly.saunders@dreamhomes.nyc,152889320,Dream Homes Bridgeport,Part-time
45,8,"Gonzales, Catherine",catherine.gonzales@dreamhomes.nyc,9076912671,Dream Homes Bridgeport,Full-time
46,17,"Kane, Diana",diana.kane@dreamhomes.nyc,87699968,Dream Homes Paterson,Full-time
47,8,"Gomez, Shannon",shannon.gomez@dreamhomes.nyc,9062825820,Dream Homes New Haven,Full-time
48,10,"Simpson, Christina",christina.simpson@dreamhomes.nyc,9475556297,Dream Homes Buffalo,Contract
49,14,"Wheeler, Michelle",michelle.wheeler@dreamhomes.nyc,1921786578,Dream Homes Syracuse,Contract
50,2,"Terry, Zachary",zachary.terry@dreamhomes.nyc,8044267439,Dream Homes Bridgeport,Part-time
51,3,"Willis, Stephanie",stephanie.willis@dreamhomes.nyc,6201555890,Dream Homes Hartford,Full-time
52,18,"Garcia, Hannah",hannah.garcia@dreamhomes.nyc,5636610905,Dream Homes Trenton,Contract
53,11,"Pham, Karen",karen.pham@dreamhomes.nyc,5122944230,Dream Homes Syracuse,Full-time
54,1,"Hill, Allen",allen.hill@dreamhomes.nyc,2135947940,Dream Homes New York,Part-time
55,3,"Turner, Cynthia",cynthia.turner@dreamhomes.nyc,6684447158,Dream Homes Buffalo,Part-time
56,7,"Fletcher, Margaret",margaret.fletcher@dreamhomes.nyc,3859854225,Dream Homes Syracuse,Full-time
57,3,"Skinner, Aaron",aaron.skinner@dreamhomes.nyc,4284011916,Dream Homes Bridgeport,Part-time
58,20,"Ross, Molly",molly.ross@dreamhomes.nyc,3745147747,Dream Homes Albany,Full-time
59,2,"Olsen, Ann",ann.olsen@dreamhomes.nyc,985850593,Dream Homes Syracuse,Part-time
60,3,"Shaffer, Jacqueline",jacqueline.shaffer@dreamhomes.nyc,7785213798,Dream Homes Jersey City,Full-time
61,15,"Bright, Robert",robert.bright@dreamhomes.nyc,3903446554,Dream Homes Paterson,Full-time
62,17,"Wilcox, Frank",frank.wilcox@dreamhomes.nyc,7290160346,Dream Homes Trenton,Part-time
63,10,"Holland, Kristy",kristy.holland@dreamhomes.nyc,5729622965,Dream Homes New York,Full-time
64,8,"Roman, Gabriela",gabriela.roman@dreamhomes.nyc,5713635630,Dream Homes Syracuse,Full-time
65,14,"Garcia, Craig",craig.garcia@dreamhomes.nyc,2808317509,Dream Homes Albany,Part-time
66,8,"Gray, Christina",christina.gray@dreamhomes.nyc,4635558018,Dream Homes Stamford,Contract
67,20,"Ross, Patricia",patricia.ross@dreamhomes.nyc,5498999484,Dream Homes Syracuse,Full-time
68,19,"Evans, Teresa",teresa.evans@dreamhomes.nyc,6814245050,Dream Homes Bridgeport,Contract
69,18,"Patton, Colton",colton.patton@dreamhomes.nyc,6723109485,Dream Homes Trenton,Part-time
70,20,"Lee, Melissa",melissa.lee@dreamhomes.nyc,1085853624,Dream Homes Trenton,Contract
71,19,"Roberts, Sandra",sandra.roberts@dreamhomes.nyc,9825522277,Dream Homes Trenton,Full-time
72,7,"Cameron, Katie",katie.cameron@dreamhomes.nyc,8004688412,Dream Homes Hartford,Full-time
73,20,"Coleman, Katherine",katherine.coleman@dreamhomes.nyc,9668881724,Dream Homes Trenton,Full-time
74,17,"Clements, Derek",derek.clements@dreamhomes.nyc,8538537111,Dream Homes Hartford,Contract
75,9,"Collins, Briana",briana.collins@dreamhomes.nyc,3690366526,Dream Homes Albany,Part-time
76,8,"Hughes, Jennifer",jennifer.hughes@dreamhomes.nyc,1113546879,Dream Homes Syracuse,Contract
77,19,"Campos, Michael",michael.campos@dreamhomes.nyc,5758515827,Dream Homes Bridgeport,Part-time
78,6,"Taylor, Jessica",jessica.taylor@dreamhomes.nyc,6829644555,Dream Homes Waterbury,Full-time
79,19,"Greene, Courtney",courtney.greene@dreamhomes.nyc,9750894993,Dream Homes Hartford,Part-time
80,12,"Cox, Kathleen",kathleen.cox@dreamhomes.nyc,5296782517,Dream Homes Hartford,Part-time
81,12,"Marshall, Nicole",nicole.marshall@dreamhomes.nyc,1461673482,Dream Homes Stamford,Full-time
82,5,"Dodson, Rhonda",rhonda.dodson@dreamhomes.nyc,986770341,Dream Homes Buffalo,Contract
83,19,"Shaw, Thomas",thomas.shaw@dreamhomes.nyc,3823208108,Dream Homes Albany,Contract
84,18,"Anderson, Joseph",joseph.anderson@dreamhomes.nyc,3803172391,Dream Homes Newark,Contract
85,3,"Walker, Aaron",aaron.walker@dreamhomes.nyc,7020733416,Dream Homes New Haven,Contract
86,18,"Olson, Andrea",andrea.olson@dreamhomes.nyc,5150499680,Dream Homes Syracuse,Contract
87,1,"Vargas, Leah",leah.vargas@dreamhomes.nyc,7669589527,Dream Homes Paterson,Full-time
88,8,"Mcguire, Jeanette",jeanette.mcguire@dreamhomes.nyc,6966084759,Dream Homes Trenton,Full-time
89,7,"Grant, Douglas",douglas.grant@dreamhomes.nyc,2529067742,Dream Homes Hartford,Full-time
90,11,"Hodges, Patrick",patrick.hodges@dreamhomes.nyc,6019672072,Dream Homes Bridgeport,Contract
91,6,"Erickson, Dakota",dakota.erickson@dreamhomes.nyc,7396554579,Dream Homes Stamford,Full-time
92,8,"Lowery, Michael",michael.lowery@dreamhomes.nyc,3470397094,Dream Homes Trenton,Contract
93,18,"Galvan, Alyssa",alyssa.galvan@dreamhomes.nyc,6406174881,Dream Homes Stamford,Contract
94,11,"Wise, David",david.wise@dreamhomes.nyc,570723799,Dream Homes Trenton,Contract
95,1,"Obrien, Stephanie",stephanie.obrien@dreamhomes.nyc,8577550430,Dream Homes Hartford,Part-time
96,7,"Watson, Anthony",anthony.watson@dreamhomes.nyc,7399846038,Dream Homes Hartford,Contract
97,11,"Miller, Alejandro",alejandro.miller@dreamhomes.nyc,8596543913,Dream Homes Syracuse,Contract
98,20,"Vaughan, Robert",robert.vaughan@dreamhomes.nyc,395182475,Dream Homes Stamford,Contract
99,15,"Hines, Monica",monica.hines@dreamhomes.nyc,7813734176,Dream Homes Paterson,Contract
100,7,"Cordova, Virginia",virginia.cordova@dreamhomes.nyc,8112002571,Dream Homes Trenton,Contract
101,8,"Frye, Angela",angela.frye@dreamhomes.nyc,7895300494,Dream Homes Buffalo,Contract
102,20,"Brown, John",john.brown@dreamhomes.nyc,9424355667,Dream Homes Hartford,Part-time
103,9,"Garcia, Christopher",christopher.garcia@dreamhomes.nyc,3383240979,Dream Homes Newark,Contract
104,11,"Murillo, Lydia",lydia.murillo@dreamhomes.nyc,8974805690,Dream Homes Albany,Contract
105,15,"Barnes, Michael",michael.barnes@dreamhomes.nyc,751742883,Dream Homes Bridgeport,Contract
106,10,"Leon, Patrick",patrick.leon@dreamhomes.nyc,6049889200,Dream Homes Bridgeport,Contract
107,6,"Koch, Luis",luis.koch@dreamhomes.nyc,508816169,Dream Homes Bridgeport,Full-time
108,15,"Bell, Christopher",christopher.bell@dreamhomes.nyc,2215960388,Dream Homes Bridgeport,Full-time
109,19,"Moore, Robert",robert.moore@dreamhomes.nyc,853314220,Dream Homes Albany,Part-time
110,4,"Carlson, Megan",megan.carlson@dreamhomes.nyc,2699281851,Dream Homes Bridgeport,Contract
111,5,"Mcgrath, Alison",alison.mcgrath@dreamhomes.nyc,6171725085,Dream Homes Stamford,Full-time
112,11,"Walsh, Timothy",timothy.walsh@dreamhomes.nyc,4603732083,Dream Homes Bridgeport,Full-time
113,16,"Burton, Tina",tina.burton@dreamhomes.nyc,764402101,Dream Homes Syracuse,Full-time
114,12,"Mccann, Wendy",wendy.mccann@dreamhomes.nyc,9869461990,Dream Homes Syracuse,Contract
115,14,"Williams, Kristy",kristy.williams@dreamhomes.nyc,7391617749,Dream Homes Hartford,Full-time
116,12,"White, Gregory",gregory.white@dreamhomes.nyc,9523811327,Dream Homes Stamford,Contract
117,12,"Evans, Christina",christina.evans@dreamhomes.nyc,6898151395,Dream Homes Hartford,Part-time
118,2,"Fry, Joseph",joseph.fry@dreamhomes.nyc,5057638487,Dream Homes Syracuse,Full-time
119,7,"Cruz, Pamela",pamela.cruz@dreamhomes.nyc,9209574671,Dream Homes Syracuse,Part-time
120,4,"Hopkins, Andrew",andrew.hopkins@dreamhomes.nyc,5686769682,Dream Homes Syracuse,Part-time
